,a,b,c,d,e,f,parId,C_Code,beta_s,betaR_s,betaM_s,gamma_s,sigma_s,breed_mean_s,breed_sd_s,Pr_mig_s,arrival_mean_s,arrival_sd_s,turn_mean_s,turn_amp_s,tunr_slope_s,turn_kurt_s,beta_u,betaR_u,betaM_u,gamma_u,sigma_u,breed_mean_u,breed_sd_u,Pr_mig_u,arrival_mean_u,arrival_sd_u,turn_mean_u,turn_amp_u,tunr_slope_u,turn_kurt_u,beta_l,betaR_l,betaM_l,gamma_l,sigma_l,breed_mean_l,breed_sd_l,Pr_mig_l,arrival_mean_l,arrival_sd_l,turn_mean_l,turn_amp_l,tunr_slope_l,turn_kurt_l
trial.17,1,0,0,0,0,1,1.4.5.6.7.8.9.10.11.12.13.14,1,0.0001,NA,NA,0.166666667,0.002739726,138,10,2,260,5,250,0.2,15,2.2,0.0004,NA,NA,0.333333333,0.013333333,220,25,4,335,50,288,0.6,25,3,0.00001,NA,NA,0.083333333,0.001369863,135,0.5,0.5,240,0.5,240,0.05,2,2
trial.18,1,1,0,0,0,1,1.4.5.6.7.8.9.10.11.12.13.14,1,0.0001,NA,NA,0.166666667,0.002739726,138,10,2,260,5,250,0.2,15,2.2,0.0004,NA,NA,0.333333333,0.013333333,220,25,4,335,50,288,0.6,25,3,0.00001,NA,NA,0.083333333,0.001369863,135,0.5,0.5,240,0.5,240,0.05,2,2
trial.19,1,0,1,0,0,1,1.4.5.6.7.8.9.10.11.12.13.14,1,0.0001,NA,NA,0.166666667,0.04,138,10,2,260,5,250,0.2,15,2.2,0.0004,NA,NA,0.333333333,0.066666667,220,25,4,335,50,288,0.6,25,3,0.00001,NA,NA,0.083333333,0.001369863,135,0.5,0.5,240,0.5,240,0.05,2,2
trial.20,1,1,1,0,0,1,1.4.5.6.7.8.9.10.11.12.13.14,1,0.0001,NA,NA,0.166666667,0.04,138,10,2,260,5,250,0.2,15,2.2,0.0004,NA,NA,0.333333333,0.066666667,220,25,4,335,50,288,0.6,25,3,0.00001,NA,NA,0.083333333,0.001369863,135,0.5,0.5,240,0.5,240,0.05,2,2
trial.21,1,0,0,1,0,1,1.4.5.6.7.8.9.10.11.12.13.14,1,0.0001,NA,NA,0.166666667,0.002739726,138,10,2,260,5,250,0.2,15,2.2,0.0004,NA,NA,0.333333333,0.013333333,220,25,4,335,50,288,0.6,25,3,0.00001,NA,NA,0.083333333,0.001369863,135,0.5,0.5,240,0.5,240,0.05,2,2
trial.22,1,1,0,1,0,1,1.4.5.6.7.8.9.10.11.12.13.14,1,0.0001,NA,NA,0.166666667,0.002739726,138,10,2,260,5,250,0.2,15,2.2,0.0004,NA,NA,0.333333333,0.013333333,220,25,4,335,50,288,0.6,25,3,0.00001,NA,NA,0.083333333,0.001369863,135,0.5,0.5,240,0.5,240,0.05,2,2
trial.23,1,0,1,1,0,1,1.4.5.6.7.8.9.10.11.12.13.14,1,0.0001,NA,NA,0.166666667,0.04,138,10,2,260,5,250,0.2,15,2.2,0.0004,NA,NA,0.333333333,0.066666667,220,25,4,335,50,288,0.6,25,3,0.00001,NA,NA,0.083333333,0.001369863,135,0.5,0.5,240,0.5,240,0.05,2,2
trial.24,1,1,1,1,0,1,1.4.5.6.7.8.9.10.11.12.13.14,1,0.0001,NA,NA,0.166666667,0.04,138,10,2,260,5,250,0.2,15,2.2,0.0004,NA,NA,0.333333333,0.066666667,220,25,4,335,50,288,0.6,25,3,0.00001,NA,NA,0.083333333,0.001369863,135,0.5,0.5,240,0.5,240,0.05,2,2
trial.25,1,0,0,0,1,1,2.3.4.5.6.7.8.9.10.11.12.13.14,1,NA,0.0001,0.0001,0.166666667,0.002739726,138,10,2,260,5,250,0.2,15,2.2,NA,0.0004,0.003,0.333333333,0.013333333,220,25,4,335,50,288,0.6,25,3,NA,0.00001,0.00001,0.083333333,0.001369863,135,0.5,0.5,240,0.5,240,0.05,2,2
trial.26,1,1,0,0,1,1,2.3.4.5.6.7.8.9.10.11.12.13.14,1,NA,0.0001,0.0001,0.166666667,0.002739726,138,10,2,260,5,250,0.2,15,2.2,NA,0.0004,0.003,0.333333333,0.013333333,220,25,4,335,50,288,0.6,25,3,NA,0.00001,0.00001,0.083333333,0.001369863,135,0.5,0.5,240,0.5,240,0.05,2,2
trial.27,1,0,1,0,1,1,2.3.4.5.6.7.8.9.10.11.12.13.14,1,NA,0.0001,0.0001,0.166666667,0.04,138,10,2,260,5,250,0.2,15,2.2,NA,0.0004,0.003,0.333333333,0.066666667,220,25,4,335,50,288,0.6,25,3,NA,0.00001,0.00001,0.083333333,0.001369863,135,0.5,0.5,240,0.5,240,0.05,2,2
trial.28,1,1,1,0,1,1,2.3.4.5.6.7.8.9.10.11.12.13.14,1,NA,0.0001,0.0001,0.166666667,0.04,138,10,2,260,5,250,0.2,15,2.2,NA,0.0004,0.003,0.333333333,0.066666667,220,25,4,335,50,288,0.6,25,3,NA,0.00001,0.00001,0.083333333,0.001369863,135,0.5,0.5,240,0.5,240,0.05,2,2
trial.29,1,0,0,1,1,1,2.3.4.5.6.7.8.9.10.11.12.13.14,1,NA,0.0001,0.0001,0.166666667,0.002739726,138,10,2,260,5,250,0.2,15,2.2,NA,0.0004,0.003,0.333333333,0.013333333,220,25,4,335,50,288,0.6,25,3,NA,0.00001,0.00001,0.083333333,0.001369863,135,0.5,0.5,240,0.5,240,0.05,2,2
trial.30,1,1,0,1,1,1,2.3.4.5.6.7.8.9.10.11.12.13.14,1,NA,0.0001,0.0001,0.166666667,0.002739726,138,10,2,260,5,250,0.2,15,2.2,NA,0.0004,0.003,0.333333333,0.013333333,220,25,4,335,50,288,0.6,25,3,NA,0.00001,0.00001,0.083333333,0.001369863,135,0.5,0.5,240,0.5,240,0.05,2,2
trial.31,1,0,1,1,1,1,2.3.4.5.6.7.8.9.10.11.12.13.14,1,NA,0.0001,0.0001,0.166666667,0.04,138,10,2,260,5,250,0.2,15,2.2,NA,0.0004,0.003,0.333333333,0.066666667,220,25,4,335,50,288,0.6,25,3,NA,0.00001,0.00001,0.083333333,0.001369863,135,0.5,0.5,240,0.5,240,0.05,2,2
trial.32,1,1,1,1,1,1,2.3.4.5.6.7.8.9.10.11.12.13.14,1,NA,0.0001,0.0001,0.166666667,0.04,138,10,2,260,5,250,0.2,15,2.2,NA,0.0004,0.003,0.333333333,0.066666667,220,25,4,335,50,288,0.6,25,3,NA,0.00001,0.00001,0.083333333,0.001369863,135,0.5,0.5,240,0.5,240,0.05,2,2
